path,furniture,fov,yaw,pitch,roll,pitch_range,roll_range,x,y,z
\scene_03250\2D_rendering\863179\perspective\empty_120_10_10\0,empty,120,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_120_10_10\0,full,120,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_60_20_20\0,empty,60,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_60_20_20\0,full,60,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_90_20_20\0,empty,90,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_90_20_20\0,full,90,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_120_20_20\0,empty,120,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_120_20_20\0,full,120,132,-11,19,20,20,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_60_0_0\0,empty,60,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_60_0_0\0,full,60,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_90_0_0\0,empty,90,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_90_0_0\0,full,90,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_120_0_0\0,empty,120,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_120_0_0\0,full,120,-48,0,0,0,0,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_60_10_10\0,empty,60,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_60_10_10\0,full,60,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_90_10_10\0,empty,90,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_90_10_10\0,full,90,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_120_10_10\0,empty,120,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_120_10_10\0,full,120,-48,-4,-1,10,10,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_60_20_20\0,empty,60,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_60_20_20\0,full,60,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_90_20_20\0,empty,90,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_90_20_20\0,full,90,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\empty_120_20_20\0,empty,120,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03250\2D_rendering\863711\perspective\full_120_20_20\0,full,120,-48,14,-19,20,20,-2542.102528,2668.450207,1618.551978
\scene_03251\2D_rendering\802923\perspective\empty_60_0_0\0,empty,60,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_60_0_0\0,full,60,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_90_0_0\0,empty,90,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_90_0_0\0,full,90,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_120_0_0\0,empty,120,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_120_0_0\0,full,120,169,0,0,0,0,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_60_10_10\0,empty,60,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_60_10_10\0,full,60,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_90_10_10\0,empty,90,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_90_10_10\0,full,90,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_120_10_10\0,empty,120,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_120_10_10\0,full,120,169,-10,-7,10,10,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_60_20_20\0,empty,60,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_60_20_20\0,full,60,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_90_20_20\0,empty,90,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_90_20_20\0,full,90,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\empty_120_20_20\0,empty,120,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802923\perspective\full_120_20_20\0,full,120,169,-15,2,20,20,-1393.874452,-612.340281,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_60_0_0\0,empty,60,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_60_0_0\0,full,60,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_90_0_0\0,empty,90,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_90_0_0\0,full,90,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_120_0_0\0,empty,120,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_120_0_0\0,full,120,-31,0,0,0,0,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_60_10_10\0,empty,60,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_60_10_10\0,full,60,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_90_10_10\0,empty,90,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_90_10_10\0,full,90,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_120_10_10\0,empty,120,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_120_10_10\0,full,120,-31,-4,2,10,10,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_60_20_20\0,empty,60,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_60_20_20\0,full,60,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_90_20_20\0,empty,90,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_90_20_20\0,full,90,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\empty_120_20_20\0,empty,120,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\802924\perspective\full_120_20_20\0,full,120,-31,-20,-15,20,20,3888.900412,-3442.020961,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_60_0_0\0,empty,60,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_60_0_0\0,full,60,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_90_0_0\0,empty,90,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_90_0_0\0,full,90,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_120_0_0\0,empty,120,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_120_0_0\0,full,120,9,0,0,0,0,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_60_10_10\0,empty,60,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_60_10_10\0,full,60,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_90_10_10\0,empty,90,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_90_10_10\0,full,90,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_120_10_10\0,empty,120,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_120_10_10\0,full,120,9,9,4,10,10,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_60_20_20\0,empty,60,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_60_20_20\0,full,60,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_90_20_20\0,empty,90,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_90_20_20\0,full,90,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\empty_120_20_20\0,empty,120,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\803815\perspective\full_120_20_20\0,full,120,9,-17,19,20,20,-4648.981926,-2001.408908,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_60_0_0\0,empty,60,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_60_0_0\0,full,60,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_90_0_0\0,empty,90,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_90_0_0\0,full,90,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_120_0_0\0,empty,120,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_120_0_0\0,full,120,37,0,0,0,0,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_60_10_10\0,empty,60,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_60_10_10\0,full,60,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_90_10_10\0,empty,90,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_90_10_10\0,full,90,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_120_10_10\0,empty,120,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_120_10_10\0,full,120,37,0,2,10,10,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_60_20_20\0,empty,60,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_60_20_20\0,full,60,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_90_20_20\0,empty,90,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_90_20_20\0,full,90,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\empty_120_20_20\0,empty,120,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804242\perspective\full_120_20_20\0,full,120,37,3,8,20,20,5506.69795,94.141648,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_60_0_0\0,empty,60,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_60_0_0\0,full,60,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_90_0_0\0,empty,90,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_90_0_0\0,full,90,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_120_0_0\0,empty,120,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_120_0_0\0,full,120,20,0,0,0,0,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_60_10_10\0,empty,60,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_60_10_10\0,full,60,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_90_10_10\0,empty,90,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_90_10_10\0,full,90,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_120_10_10\0,empty,120,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_120_10_10\0,full,120,20,-6,-8,10,10,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_60_20_20\0,empty,60,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_60_20_20\0,full,60,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_90_20_20\0,empty,90,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_90_20_20\0,full,90,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\empty_120_20_20\0,empty,120,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804462\perspective\full_120_20_20\0,full,120,20,-2,-8,20,20,1613.806323,1128.402927,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_60_0_0\0,empty,60,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_60_0_0\0,full,60,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_90_0_0\0,empty,90,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_90_0_0\0,full,90,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_120_0_0\0,empty,120,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_120_0_0\0,full,120,-67,0,0,0,0,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_60_10_10\0,empty,60,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_60_10_10\0,full,60,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_90_10_10\0,empty,90,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_90_10_10\0,full,90,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_120_10_10\0,empty,120,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_120_10_10\0,full,120,-67,1,3,10,10,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_60_20_20\0,empty,60,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_60_20_20\0,full,60,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_90_20_20\0,empty,90,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_90_20_20\0,full,90,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\empty_120_20_20\0,empty,120,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804575\perspective\full_120_20_20\0,full,120,-67,17,1,20,20,-641.83651,-5490.333221,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_60_0_0\0,empty,60,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_60_0_0\0,full,60,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_90_0_0\0,empty,90,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_90_0_0\0,full,90,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_120_0_0\0,empty,120,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_120_0_0\0,full,120,-18,0,0,0,0,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_60_10_10\0,empty,60,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_60_10_10\0,full,60,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_90_10_10\0,empty,90,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_90_10_10\0,full,90,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_120_10_10\0,empty,120,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_120_10_10\0,full,120,-18,6,-3,10,10,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\empty_60_20_20\0,empty,60,-18,5,-16,20,20,-3100.175442,1934.435447,1508.548013
\scene_03251\2D_rendering\804683\perspective\full_60_20_20\0,full,60,-18,5,-16,20,20,-3100.175442,1934.435447,1508.548013
